Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,DLF,EQ,311.4,311.45,315.5,308.4,309.1,309.65,312.15,13808073,431025775875000.0,85926,1680401,0.1217
2021-02-12,DLF,EQ,309.65,312.0,316.4,308.6,311.25,311.75,312.86,16500467,516228489160000.06,99162,2475505,0.15
2021-02-15,DLF,EQ,311.75,314.5,325.8,312.0,317.35,317.25,319.68,23007953,735520364835000.0,159725,4266734,0.18539999999999998
2021-02-16,DLF,EQ,317.25,318.95,328.2,315.5,318.6,319.0,321.05,19300639,619647919220000.0,119353,3373175,0.1748
2021-02-17,DLF,EQ,319.0,318.7,321.55,313.2,314.9,314.9,317.55,12470386,395996099095000.0,65987,2179528,0.1748
2021-02-18,DLF,EQ,314.9,316.95,317.3,304.7,305.8,306.25,311.12,13038811,405669227310000.0,78830,2204115,0.16899999999999998
2021-02-19,DLF,EQ,306.25,306.7,311.0,293.05,300.4,300.6,304.36,20551420,625497320505000.0,123212,3068437,0.1493
2021-02-22,DLF,EQ,300.6,300.0,304.5,291.1,292.05,294.1,299.42,11647381,348747798390000.0,75578,1443402,0.12390000000000001
2021-02-23,DLF,EQ,294.1,296.3,310.7,296.2,307.15,305.4,305.61,21574486,659339075230000.0,138108,2143586,0.0994
