Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,INDIGO,EQ,1565.8,1565.05,1565.8,1502.3,1508.1,1512.25,1533.36,1074104,164698715335000.0,45897,209480,0.195
2021-02-23,INDIGO,EQ,1512.25,1511.0,1541.2,1506.05,1530.0,1530.45,1526.69,1062743,162247611190000.0,38957,435500,0.4098
2021-02-24,INDIGO,EQ,1530.45,1531.0,1635.0,1531.0,1620.15,1621.0,1596.35,1579112,252081496369999.97,48938,667943,0.423
2021-02-25,INDIGO,EQ,1621.0,1621.55,1669.95,1619.55,1658.0,1660.2,1648.18,1344545,221605301175000.0,49895,368038,0.2737
2021-02-26,INDIGO,EQ,1660.2,1638.0,1654.55,1606.3,1617.0,1619.95,1628.24,1160739,188995845705000.0,44968,526660,0.4537
