Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,HINDPETRO,EQ,244.0,245.0,248.3,239.5,240.4,241.5,243.42,7516651,182971269605000.0,61162,2591207,0.3447
2021-02-23,HINDPETRO,EQ,241.5,242.0,249.9,241.7,244.75,244.9,246.0,9848080,242261840515000.0,91805,3720518,0.3778
2021-02-24,HINDPETRO,EQ,244.9,246.75,248.55,242.6,245.25,244.75,245.22,3338158,81857536555000.0,34165,1303284,0.3904
2021-02-25,HINDPETRO,EQ,244.75,246.0,259.25,245.5,252.75,252.45,253.17,14585563,369263401565000.0,155587,5093408,0.3492
2021-02-26,HINDPETRO,EQ,252.45,249.95,255.05,240.0,242.9,242.45,246.7,11918506,294030738690000.0,86674,4593961,0.3854
