Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,BANKBARODA,EQ,91.2,91.4,93.75,88.8,89.25,89.55,91.2,75628484,689751691895000.0,194964,9191315,0.12150000000000001
2021-02-23,BANKBARODA,EQ,89.55,90.3,91.6,86.05,86.3,86.85,88.89,68592567,609701473895000.0,159823,11912315,0.17370000000000002
2021-02-24,BANKBARODA,EQ,86.85,87.4,90.3,86.4,88.0,88.35,88.9,40874043,363383898595000.0,111272,8377744,0.20500000000000002
2021-02-25,BANKBARODA,EQ,88.35,89.9,90.65,89.0,90.0,89.95,89.93,52500068,472113338050000.0,114541,9153568,0.17440000000000003
2021-02-26,BANKBARODA,EQ,89.95,86.9,87.2,85.0,85.2,85.4,86.12,87811972,756226329470000.0,222782,17459129,0.1988
