Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,NESTLEIND,EQ,17177.35,17189.9,17447.45,17150.0,17396.1,17412.25,17344.0,65366,113370801640000.02,14706,26401,0.40390000000000004
2021-02-12,NESTLEIND,EQ,17412.25,17410.1,17519.0,17240.0,17240.0,17294.3,17364.0,54528,94682399765000.0,11361,19973,0.3663
2021-02-15,NESTLEIND,EQ,17294.3,17349.0,17506.75,17258.05,17500.0,17479.85,17447.12,110119,192125893655000.0,22833,69077,0.6273
2021-02-16,NESTLEIND,EQ,17479.85,17555.0,17646.0,17139.1,17200.0,17217.25,17304.64,229774,397615543130000.0,41851,99079,0.43119999999999997
2021-02-17,NESTLEIND,EQ,17217.25,16900.0,16900.0,16350.0,16700.0,16741.2,16637.7,599343,997168825210000.0,97399,235546,0.39299999999999996
2021-02-18,NESTLEIND,EQ,16741.2,16756.0,16900.0,16300.0,16430.0,16364.7,16477.73,251066,413699690615000.0,46881,131421,0.5235000000000001
2021-02-19,NESTLEIND,EQ,16364.7,16430.0,16464.7,16212.95,16430.05,16376.4,16345.82,130275,212945163435000.0,29439,52117,0.4001
2021-02-22,NESTLEIND,EQ,16376.4,16411.05,16530.0,16024.6,16104.0,16096.3,16193.87,214915,348030457155000.0,40927,110739,0.5153
2021-02-23,NESTLEIND,EQ,16096.3,16131.0,16255.0,16002.1,16175.0,16169.95,16126.78,142998,230609710275000.0,25939,75388,0.5272
