Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,AMBUJACEM,EQ,275.3,275.5,276.9,265.65,266.4,266.95,269.96,7287185,196725404590000.0,61633,2137567,0.2933
2021-02-23,AMBUJACEM,EQ,266.95,269.0,270.85,263.15,265.0,264.7,266.81,7106597,189613106200000.0,48969,2583084,0.36350000000000005
2021-02-24,AMBUJACEM,EQ,264.7,266.0,270.3,265.05,269.6,268.4,268.39,3316417,89009804720000.0,20796,1625885,0.4903
2021-02-25,AMBUJACEM,EQ,268.4,271.2,281.6,271.15,281.1,279.7,274.96,9436339,259461077680000.03,66661,3650417,0.38680000000000003
2021-02-26,AMBUJACEM,EQ,279.7,277.0,288.5,271.5,273.0,273.5,279.97,21250569,594942520800000.0,145611,7136823,0.3358
