Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,TCS,EQ,3071.85,3096.0,3096.0,2943.15,2955.5,2958.45,2999.26,5366696,1609612100220000.0,266786,2809615,0.5235000000000001
2021-02-23,TCS,EQ,2958.45,2970.0,3028.0,2968.0,2985.1,2980.2,2996.35,3832829,1148451363145000.0,192941,1770672,0.462
2021-02-24,TCS,EQ,2980.2,2972.0,3003.35,2921.15,2946.85,2948.1,2946.07,3774549,1112008188695000.1,132336,2336704,0.6191
2021-02-25,TCS,EQ,2948.1,2974.0,3029.9,2968.45,2985.05,2995.3,3000.62,4224073,1267484932045000.0,223397,2152055,0.5095000000000001
2021-02-26,TCS,EQ,2995.3,2960.0,2972.35,2880.0,2903.85,2894.3,2916.68,5553153,1619677708255000.0,348532,2860279,0.5151
