Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,JSWSTEEL,EQ,395.65,396.15,413.85,396.15,407.0,406.1,407.81,9371697,382184100030000.0,89653,1923681,0.2053
2021-02-23,JSWSTEEL,EQ,406.1,410.0,416.2,406.1,415.0,412.6,411.23,8127742,334241065260000.0,83690,2009428,0.2472
2021-02-24,JSWSTEEL,EQ,412.6,415.0,426.6,400.0,407.15,408.1,417.62,10570509,441445699539999.94,104057,1833508,0.17350000000000002
2021-02-25,JSWSTEEL,EQ,408.1,411.0,425.0,410.0,421.0,421.75,419.53,9051315,379733568035000.0,87374,1986615,0.2195
2021-02-26,JSWSTEEL,EQ,421.75,412.05,421.3,392.05,395.55,395.45,404.07,11433748,462001030950000.0,113220,3507256,0.30670000000000003
