Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,MCDOWELL-N,EQ,572.85,576.5,580.8,567.0,571.1,571.7,571.95,1999144,114341937615000.02,47072,514456,0.25730000000000003
2021-02-12,MCDOWELL-N,EQ,571.7,574.15,577.7,566.0,566.65,567.65,570.62,2219681,126660097640000.02,55936,715895,0.3225
2021-02-15,MCDOWELL-N,EQ,567.65,574.0,574.0,566.4,569.25,569.55,570.15,2649311,151049827020000.0,71366,1006710,0.38
2021-02-16,MCDOWELL-N,EQ,569.55,572.0,574.4,566.7,568.25,568.45,570.59,1777197,101404245605000.0,36329,810841,0.4562
2021-02-17,MCDOWELL-N,EQ,568.45,567.95,567.95,560.65,565.0,564.95,563.82,1890083,106566700435000.0,41353,813339,0.4303
2021-02-18,MCDOWELL-N,EQ,564.95,565.1,567.75,556.2,560.15,560.35,561.94,2625977,147564978255000.0,66750,1247792,0.47520000000000007
2021-02-19,MCDOWELL-N,EQ,560.35,561.7,565.9,552.0,556.15,556.35,558.84,1861565,104031357975000.0,42404,820202,0.44060000000000005
2021-02-22,MCDOWELL-N,EQ,556.35,559.15,559.95,543.0,544.1,546.95,551.75,2098907,115807571745000.0,62506,1066252,0.508
2021-02-23,MCDOWELL-N,EQ,546.95,549.8,556.4,546.3,550.5,550.4,551.69,1704931,94059905525000.0,39361,655247,0.38430000000000003
