Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,BERGEPAINT,EQ,741.25,731.0,743.95,725.8,727.3,729.85,735.89,1369925,100811750590000.0,26382,112069,0.0818
2021-02-23,BERGEPAINT,EQ,729.85,730.0,736.7,710.75,722.55,721.7,719.47,944425,67948972840000.0,28196,144977,0.1535
2021-02-24,BERGEPAINT,EQ,721.7,721.7,730.0,716.0,724.0,724.75,721.72,459880,33190396235000.004,16330,95547,0.2078
2021-02-25,BERGEPAINT,EQ,724.75,728.0,731.1,715.7,721.8,722.9,721.17,1219033,87912412680000.0,38977,412134,0.3381
2021-02-26,BERGEPAINT,EQ,722.9,717.6,719.8,675.05,680.0,679.85,692.07,2216861,153421443790000.0,64718,999217,0.4507
