Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,NAUKRI,EQ,5170.15,5154.0,5160.0,4958.0,4983.55,4993.65,5042.87,693436,349690660640000.0,77090,121383,0.17500000000000002
2021-02-23,NAUKRI,EQ,4993.65,5170.0,5250.0,5013.95,5048.0,5071.15,5094.19,944296,481042356455000.0,77959,86506,0.0916
2021-02-24,NAUKRI,EQ,5071.15,5071.15,5129.4,4909.0,4946.0,4936.55,4965.31,458435,227627065705000.03,57728,132961,0.29
2021-02-25,NAUKRI,EQ,4936.55,4995.0,5060.65,4945.0,4950.0,4958.45,5001.4,626352,313263662630000.0,46015,201899,0.3223
2021-02-26,NAUKRI,EQ,4958.45,4900.0,4965.0,4754.4,4892.0,4910.35,4880.82,701448,342363845220000.0,72819,208614,0.2974
