Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,MARUTI,EQ,7323.0,7323.0,7325.0,7056.0,7060.0,7086.45,7151.55,1502068,1074210773665000.0,174597,606694,0.40390000000000004
2021-02-23,MARUTI,EQ,7086.45,7118.8,7122.35,6938.0,6975.0,6970.5,7004.31,1589884,1113603598854999.9,155033,688121,0.4328
2021-02-24,MARUTI,EQ,6970.5,6905.0,7036.0,6877.5,6955.0,6952.95,6969.92,1225254,853992115900000.0,117844,540301,0.441
2021-02-25,MARUTI,EQ,6952.95,7065.0,7069.0,6915.0,6926.05,6930.35,6955.9,1740066,1210373187615000.0,135168,904726,0.5199
2021-02-26,MARUTI,EQ,6930.35,6900.0,7075.0,6822.2,6851.0,6866.15,6937.04,2687534,1864353704230000.0,260516,911816,0.3393
