Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,POWERGRID,EQ,232.2,232.45,233.9,223.6,224.5,224.95,227.69,14512980,330444403285000.0,62460,8100175,0.5581
2021-02-23,POWERGRID,EQ,224.95,225.75,229.1,224.65,226.0,226.1,226.66,10290130,233232556780000.03,58878,3965813,0.3854
2021-02-24,POWERGRID,EQ,226.1,226.15,228.2,221.6,222.6,222.75,224.63,6424498,144311131260000.0,55805,3775743,0.5877
2021-02-25,POWERGRID,EQ,222.75,223.7,232.8,220.8,227.8,227.55,226.96,17266549,391887740880000.0,142971,8846445,0.5123
2021-02-26,POWERGRID,EQ,227.55,221.5,227.25,211.2,213.85,214.3,217.87,21414774,466570991189999.94,128178,13166286,0.6148
