Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,ICICIGI,EQ,1501.0,1498.0,1511.0,1488.0,1497.1,1497.8,1502.85,688878,103527895475000.0,32681,464498,0.6743000000000001
2021-02-12,ICICIGI,EQ,1497.8,1500.0,1509.0,1486.25,1491.0,1494.9,1496.82,555080,83085569030000.0,28427,379631,0.6839000000000001
2021-02-15,ICICIGI,EQ,1494.9,1500.0,1507.4,1478.1,1491.1,1497.7,1493.41,1186259,177157215615000.0,26193,1004803,0.8470000000000001
2021-02-16,ICICIGI,EQ,1497.7,1497.95,1519.0,1487.55,1506.45,1504.9,1501.73,428431,64338576440000.0,29726,203163,0.4742
2021-02-17,ICICIGI,EQ,1504.9,1499.0,1541.8,1495.05,1495.9,1497.85,1516.54,871716,132199589490000.02,47059,388921,0.4462
2021-02-18,ICICIGI,EQ,1497.85,1501.95,1516.0,1490.05,1498.85,1498.2,1501.06,498508,74829013475000.0,27745,305189,0.6122
2021-02-19,ICICIGI,EQ,1498.2,1491.0,1520.0,1488.3,1493.15,1493.75,1497.46,705510,105647528140000.0,28812,512192,0.726
2021-02-22,ICICIGI,EQ,1493.75,1495.5,1498.0,1452.25,1465.05,1466.15,1465.84,787448,115427514095000.0,47787,587156,0.7456
2021-02-23,ICICIGI,EQ,1466.15,1470.0,1514.0,1460.0,1500.0,1499.45,1500.24,859167,128895298690000.02,43391,522983,0.6087
