Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,PNB,EQ,39.45,39.45,40.1,38.6,38.7,38.75,39.23,151510830,594388289890000.0,119968,19259835,0.12710000000000002
2021-02-12,PNB,EQ,38.75,39.0,39.65,38.4,38.85,38.8,38.97,158520381,617762627010000.0,120773,13732639,0.0866
2021-02-15,PNB,EQ,38.8,39.25,40.05,39.0,39.65,39.55,39.43,127928424,504467675889999.94,106995,21822905,0.1706
2021-02-16,PNB,EQ,39.55,40.0,40.65,39.1,39.55,39.5,39.81,187520683,746597123455000.0,131120,30453955,0.1624
2021-02-17,PNB,EQ,39.5,39.5,42.5,39.3,41.35,41.7,41.58,466579666,1939881558355000.0,388759,75106379,0.161
2021-02-18,PNB,EQ,41.7,42.0,44.3,41.8,43.95,43.8,43.38,365119300,1583800528695000.0,331081,79598875,0.218
2021-02-19,PNB,EQ,43.8,44.25,46.35,41.2,42.35,42.05,43.98,429882183,1890535657090000.2,382470,64402143,0.14980000000000002
2021-02-22,PNB,EQ,42.05,42.55,42.85,40.2,40.85,41.05,41.51,207909169,863110005085000.0,190212,25308693,0.1217
2021-02-23,PNB,EQ,41.05,41.3,42.2,40.65,41.15,41.0,41.49,217940163,904272804279999.9,157228,29260032,0.1343
