Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,AUROPHARMA,EQ,888.55,886.0,890.7,849.0,850.6,856.4,867.71,3205958,278184978735000.0,90979,1256269,0.39189999999999997
2021-02-23,AUROPHARMA,EQ,856.4,850.6,862.7,837.0,856.8,853.6,847.8,3021328,256148871030000.03,58391,1221392,0.4043
2021-02-24,AUROPHARMA,EQ,853.6,863.0,868.45,851.1,861.65,862.0,859.67,1100310,94590571385000.0,29490,525635,0.4777
2021-02-25,AUROPHARMA,EQ,862.0,867.75,875.2,856.35,861.95,863.25,865.69,2579512,223304585940000.0,61014,957038,0.371
2021-02-26,AUROPHARMA,EQ,863.25,849.0,871.95,844.45,850.3,855.2,860.04,3866956,332571958750000.0,98488,1570128,0.406
