Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,CADILAHC,EQ,452.4,450.0,451.0,431.25,433.55,434.45,441.17,2515498,110975960365000.02,41983,812119,0.32280000000000003
2021-02-23,CADILAHC,EQ,434.45,438.8,438.8,421.0,429.9,430.5,428.52,3853845,165145828845000.0,56929,1251032,0.3246
2021-02-24,CADILAHC,EQ,430.5,430.5,437.35,427.65,432.6,433.45,433.27,1688256,73146719050000.0,25641,584301,0.3461
2021-02-25,CADILAHC,EQ,433.45,441.0,444.4,436.15,438.0,438.05,440.06,3141003,138223800890000.02,44362,771783,0.2457
2021-02-26,CADILAHC,EQ,438.05,434.2,443.8,430.1,434.0,435.2,438.53,3239469,142059689965000.0,40391,617253,0.1905
