Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,UBL,EQ,1255.95,1258.0,1268.5,1237.5,1265.0,1265.15,1251.45,451978,56562703785000.0,25275,147940,0.3273
2021-02-12,UBL,EQ,1265.15,1265.0,1266.85,1244.1,1251.25,1253.3,1252.16,316099,39580512925000.0,9642,98304,0.311
2021-02-15,UBL,EQ,1253.3,1257.5,1281.0,1247.0,1275.95,1275.65,1264.84,416019,52619582795000.0,15192,104674,0.2516
2021-02-16,UBL,EQ,1275.65,1280.0,1289.8,1263.05,1276.85,1276.7,1277.14,753372,96215863125000.0,16034,203580,0.2702
2021-02-17,UBL,EQ,1276.7,1280.95,1288.6,1257.95,1264.4,1269.75,1271.36,1016208,129196539530000.0,25668,100338,0.0987
2021-02-18,UBL,EQ,1269.75,1272.95,1279.55,1242.55,1254.0,1252.55,1260.78,735335,92709229010000.0,18552,161116,0.21910000000000002
2021-02-19,UBL,EQ,1252.55,1255.0,1256.5,1207.4,1218.5,1217.4,1233.81,567142,69974709740000.0,16348,199642,0.35200000000000004
2021-02-22,UBL,EQ,1217.4,1207.85,1220.45,1192.65,1200.0,1204.1,1210.01,508113,61481945800000.0,16939,166546,0.32780000000000004
2021-02-23,UBL,EQ,1204.1,1205.3,1218.2,1175.15,1178.0,1180.85,1191.8,779325,92880122435000.0,21355,438428,0.5626
