Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,BIOCON,EQ,408.15,403.0,412.55,403.0,406.0,406.4,407.7,3799980,154924202400000.0,53135,1535391,0.40409999999999996
2021-02-12,BIOCON,EQ,406.4,407.0,411.25,403.8,407.1,408.05,407.86,2998690,122303268905000.0,37438,1164984,0.3885
2021-02-15,BIOCON,EQ,408.05,408.95,410.5,405.2,407.1,407.95,408.49,2040087,83335054035000.0,23630,741170,0.3633
2021-02-16,BIOCON,EQ,407.95,407.95,418.6,406.25,417.4,417.4,414.11,5407782,223942332285000.0,60350,1446320,0.2675
2021-02-17,BIOCON,EQ,417.4,418.95,422.95,415.2,417.5,418.7,419.43,7395024,310168246490000.0,75136,1694454,0.2291
2021-02-18,BIOCON,EQ,418.7,418.7,424.75,414.0,420.75,420.1,419.65,4311757,180942706205000.0,49228,1751017,0.4061
2021-02-19,BIOCON,EQ,420.1,419.8,419.8,401.6,404.0,404.0,410.14,4834156,198266719590000.0,45214,1538399,0.3182
2021-02-22,BIOCON,EQ,404.0,405.0,406.8,395.25,396.05,397.65,401.43,3183792,127808506465000.02,41786,792693,0.249
2021-02-23,BIOCON,EQ,397.65,398.25,400.75,384.1,385.45,385.35,393.31,9103379,358044624450000.0,103125,2001205,0.2198
