Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,NMDC,EQ,117.1,116.0,116.0,111.0,113.65,113.4,113.17,13605230,153969387930000.0,66510,3108259,0.2285
2021-02-12,NMDC,EQ,113.4,114.0,114.4,111.8,112.35,112.4,113.18,5456672,61757518310000.0,19732,1210341,0.2218
2021-02-15,NMDC,EQ,112.4,112.5,113.4,111.55,112.1,112.1,112.37,4950121,55625350595000.01,18097,1510336,0.30510000000000004
2021-02-16,NMDC,EQ,112.1,113.25,117.3,113.2,115.65,115.5,115.72,15826952,183144002205000.0,60573,3864799,0.24420000000000003
2021-02-17,NMDC,EQ,115.5,115.75,117.25,114.45,116.0,116.5,115.95,6996935,81129178285000.0,28011,2015317,0.28800000000000003
2021-02-18,NMDC,EQ,116.5,116.5,120.75,116.2,119.75,120.0,118.95,12513804,148857495585000.0,46864,4362206,0.3486
2021-02-19,NMDC,EQ,120.0,122.45,123.4,116.1,117.6,117.95,120.56,27892770,336276361580000.0,120849,6523277,0.2339
2021-02-22,NMDC,EQ,117.95,119.0,121.4,117.4,119.4,120.0,120.0,15388617,184659080405000.0,63302,2969191,0.1929
2021-02-23,NMDC,EQ,120.0,120.7,125.5,120.2,123.4,122.85,123.62,21475807,265482845610000.0,87737,4893185,0.2278
