Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,BAJAJHLDNG,EQ,3522.35,3520.95,3570.0,3490.0,3550.5,3553.65,3540.52,18298,6478449030000.0,2895,8102,0.4428
2021-02-12,BAJAJHLDNG,EQ,3553.65,3550.5,3590.0,3527.1,3538.25,3544.6,3553.12,38824,13794647615000.0,5513,17007,0.43810000000000004
2021-02-15,BAJAJHLDNG,EQ,3544.6,3544.0,3598.5,3541.55,3550.2,3561.25,3570.66,27831,9937496555000.0,3669,9945,0.35729999999999995
2021-02-16,BAJAJHLDNG,EQ,3561.25,3561.0,3640.9,3550.3,3610.0,3618.95,3587.9,29612,10624491480000.0,3459,12519,0.4228
2021-02-17,BAJAJHLDNG,EQ,3618.95,3618.0,3621.5,3583.05,3602.0,3600.0,3597.04,26436,9509142320000.0,3383,17381,0.6575
2021-02-18,BAJAJHLDNG,EQ,3600.0,3600.05,3608.95,3552.2,3575.0,3584.1,3575.42,52328,18709482495000.0,4161,31613,0.6041
2021-02-19,BAJAJHLDNG,EQ,3584.1,3584.1,3645.9,3510.05,3600.4,3611.0,3579.85,32639,11684268010000.0,4086,15806,0.4843
2021-02-22,BAJAJHLDNG,EQ,3611.0,3612.0,3625.55,3572.45,3605.0,3601.05,3594.3,32256,11593758750000.0,3386,19416,0.6019
2021-02-23,BAJAJHLDNG,EQ,3601.05,3601.0,3673.1,3572.45,3654.9,3651.5,3642.82,38894,14168390900000.0,3856,21707,0.5581
