Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,AXISBANK,EQ,749.65,749.65,749.85,715.0,720.5,719.45,729.24,18123202,1321616944580000.0,246940,7319651,0.40390000000000004
2021-02-23,AXISBANK,EQ,719.45,732.35,734.95,712.6,718.0,715.95,723.36,16804763,1215582354610000.0,209036,5014217,0.2984
2021-02-24,AXISBANK,EQ,715.95,722.0,754.9,717.05,752.8,749.4,733.8,11207286,822394909165000.0,138731,3300528,0.2945
2021-02-25,AXISBANK,EQ,749.4,765.0,783.5,762.15,769.0,770.65,774.88,26635119,2063906364995000.0,367784,7596102,0.2852
2021-02-26,AXISBANK,EQ,770.65,746.0,758.7,718.65,725.35,724.8,735.47,31306177,2302480793340000.0,359614,13576999,0.4337
