Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,BHARTIARTL,EQ,590.2,592.0,603.55,589.0,594.55,598.1,598.59,18898771,1131256613430000.0,234354,7530315,0.3985
2021-02-12,BHARTIARTL,EQ,598.1,597.85,597.85,584.6,585.9,586.25,590.92,15611939,922534586875000.0,156237,6936643,0.44430000000000003
2021-02-15,BHARTIARTL,EQ,586.25,592.1,603.0,590.0,593.55,593.7,597.31,17641523,1053739742729999.9,196034,7840125,0.44439999999999996
2021-02-16,BHARTIARTL,EQ,593.7,595.0,601.6,593.0,593.45,593.95,597.29,14787224,883227140535000.0,137273,6291162,0.4254
2021-02-17,BHARTIARTL,EQ,593.95,596.95,598.8,590.05,598.0,593.85,594.02,16133750,958371925385000.0,148002,8755001,0.5427000000000001
2021-02-18,BHARTIARTL,EQ,593.85,597.0,598.0,585.2,589.25,589.05,591.31,21784559,1288138733295000.0,225068,10360959,0.4756
2021-02-19,BHARTIARTL,EQ,589.05,590.0,596.0,575.5,581.5,581.35,587.31,19106404,1122130079850000.0,231192,7510083,0.3931
2021-02-22,BHARTIARTL,EQ,581.35,582.0,584.9,568.0,569.0,570.3,577.72,19854892,1147057706750000.0,205271,11347857,0.5715
2021-02-23,BHARTIARTL,EQ,570.3,575.0,577.0,564.0,567.0,565.55,571.18,23326447,1332367997490000.0,246360,12766223,0.5473
