Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,SUNPHARMA,EQ,607.3,608.0,610.85,590.4,591.5,595.3,602.79,5330343,321306774750000.0,103930,1263353,0.237
2021-02-23,SUNPHARMA,EQ,595.3,595.0,608.35,592.0,603.95,604.05,603.2,7564187,456272788925000.0,133379,2475901,0.3273
2021-02-24,SUNPHARMA,EQ,604.05,607.1,609.35,595.85,600.4,601.45,602.88,3296243,198722317030000.0,68030,1081998,0.3283
2021-02-25,SUNPHARMA,EQ,601.45,606.4,618.9,602.7,611.15,609.55,613.67,6261754,384267552395000.0,115363,2519201,0.4023
2021-02-26,SUNPHARMA,EQ,609.55,604.95,621.35,590.0,595.45,594.6,608.62,15404415,937538749760000.0,228435,5061737,0.3286
