Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-11,SIEMENS,EQ,1859.9,1858.4,1876.25,1840.0,1842.0,1844.75,1856.01,201298,37361199265000.0,10983,31024,0.15410000000000001
2021-02-12,SIEMENS,EQ,1844.75,1850.0,1888.0,1820.05,1820.05,1846.15,1862.68,381008,70969604595000.0,19271,69387,0.1821
2021-02-15,SIEMENS,EQ,1846.15,1858.5,1894.85,1825.0,1876.25,1875.45,1858.05,629582,116979478020000.0,35672,55536,0.0882
2021-02-16,SIEMENS,EQ,1875.45,1873.2,1910.0,1815.0,1830.0,1831.55,1856.22,557842,103547538175000.0,28867,88805,0.1592
2021-02-17,SIEMENS,EQ,1831.55,1827.0,1877.0,1820.0,1875.4,1870.25,1851.19,539623,99894636570000.0,32665,66277,0.12279999999999999
2021-02-18,SIEMENS,EQ,1870.25,1879.0,1898.0,1842.8,1859.25,1862.5,1867.91,431856,80666665400000.0,35917,43115,0.0998
2021-02-19,SIEMENS,EQ,1862.5,1848.5,1882.5,1830.15,1836.0,1838.7,1860.08,476115,88561114820000.0,32643,47509,0.0998
2021-02-22,SIEMENS,EQ,1838.7,1836.0,1845.95,1797.75,1801.65,1807.6,1820.64,623777,113567335395000.0,27111,50936,0.0817
2021-02-23,SIEMENS,EQ,1807.6,1809.0,1882.2,1809.0,1865.3,1868.95,1851.5,479481,88775968370000.0,27121,74769,0.1559
