Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,HINDZINC,EQ,300.5,302.45,311.9,302.0,304.5,304.55,307.98,2311972,71202994840000.0,38864,719725,0.3113
2021-02-23,HINDZINC,EQ,304.55,306.2,309.55,298.55,303.9,304.4,304.57,1086718,33098180410000.004,30137,415642,0.3825
2021-02-24,HINDZINC,EQ,304.4,304.5,311.0,303.0,305.2,305.15,307.75,647686,19932481910000.0,9599,184915,0.28550000000000003
2021-02-25,HINDZINC,EQ,305.15,309.0,309.75,302.2,304.8,304.45,306.56,1014557,31101837105000.0,14815,418188,0.4122
2021-02-26,HINDZINC,EQ,304.45,302.0,309.75,291.0,296.0,297.5,302.1,1988515,60073775245000.01,36266,677700,0.3408
