Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,ITC,EQ,215.95,212.0,212.0,206.0,206.95,207.05,207.93,51546288,1071810796425000.0,332459,18166104,0.35240000000000005
2021-02-23,ITC,EQ,207.05,208.0,210.55,207.0,208.7,208.5,208.89,26675953,557222128905000.0,142383,8003078,0.3
2021-02-24,ITC,EQ,208.5,209.1,209.8,206.5,208.65,208.85,208.61,13160617,274548740550000.0,78718,5995087,0.45549999999999996
2021-02-25,ITC,EQ,208.85,209.5,211.2,208.8,209.2,209.15,209.99,25954142,545020788214999.94,145567,11200614,0.4316
2021-02-26,ITC,EQ,209.15,207.25,208.0,203.0,203.65,203.85,205.43,43429293,892182632929999.9,295180,24158667,0.5563
