Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,SBICARD,EQ,1025.9,1032.4,1043.55,1013.0,1016.0,1019.35,1027.43,991489,101869029405000.0,36556,276488,0.27890000000000004
2021-02-23,SBICARD,EQ,1019.35,1024.4,1034.65,1012.0,1031.0,1029.3,1020.7,1043507,106510536125000.0,29245,528613,0.5065999999999999
2021-02-24,SBICARD,EQ,1029.3,1038.0,1048.75,1014.75,1037.0,1040.1,1040.4,432512,44998673480000.0,26836,149325,0.3453
2021-02-25,SBICARD,EQ,1040.1,1045.0,1137.45,1041.75,1113.9,1110.25,1088.59,3029314,329767807890000.0,81312,1013240,0.3345
2021-02-26,SBICARD,EQ,1110.25,1090.1,1111.7,1061.75,1069.3,1068.6,1085.39,2127009,230863142619999.97,68942,954725,0.4489
