Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-22,BPCL,EQ,430.0,429.3,435.25,418.0,418.8,422.55,429.08,9690341,415789705325000.0,120772,3298665,0.3404
2021-02-23,BPCL,EQ,422.55,428.0,442.7,425.8,437.35,435.25,436.76,14397828,628842693135000.0,158597,3977334,0.2762
2021-02-24,BPCL,EQ,435.25,440.0,445.0,436.1,438.5,438.7,441.15,5990683,264276061010000.0,74754,1927098,0.32170000000000004
2021-02-25,BPCL,EQ,438.7,441.95,467.8,441.85,461.3,461.55,457.51,18810829,860613986954999.9,182077,6110985,0.3249
2021-02-26,BPCL,EQ,461.55,454.95,466.35,440.25,449.9,449.85,454.09,18441539,837405075105000.0,197233,6388872,0.3464
